RowID,EntryID,Account,Folio,Date,EntryText,Key,Rank,Arm,SubType,Col,Capt,Status,Notes
1,V1445,Vernon,40r,1642-11-23,135 p[ai]d Capt[ain] mathew scaltike C[aptain] Henry gaule C[aptain] Jo[hn] Smith & C[aptain] Henry [...] 4 Capt[ains] latelie entertained in my lord G[enera]ll[es] reg[imen]t of Foot for advance of a whole monthes pay for themselves leifft[enants] & Ensigns £123 - 4s - -d,"..., Henry",Captain,foot,,"Essex, Earl of",,,
2,V1446,Vernon,40r,1642-11-23,more p[ai]d them for providing Coll[our]s partizans halbert[es] and drums & wagons £112 - -s - -d,"..., Henry",Captain,foot,,"Essex, Earl of",,,
3,V2926,Vernon,71r,1643-07-13,154 p[ai]d leifft[enant] Abracrommy for 14 dayes pay for 100 drago[ons] of Capt[ain] dundass his troop now prisoner £127 - 8s - 0d,"Abercrommy, Jecamiah",Lieutenant,dragoons,,,"Dundass, George",,
4,V3084,Vernon,74r,1643-08-18,154 p[ai]d Jeconiah Abercromy for 7 days pay for Capt[ain] dundasse his compa[ny] of drago[ons] £40 - 8s - 0d,"Abercrommy, Jecamiah",,dragoons,,,"Dundass, George",,
5,V3189,Vernon,76r,1643-08-25,154 p[ai]d Jeconiah Abracromme Capt[ain] of that troop of horse wherof C[aptain] Dundasse was late Capt[ain] £100 - 16s - -d,"Abercrommy, Jecamiah",Captain,dragoons,,,,,Assumed horse is error for dragoons
6,V3335,Vernon,78v,1643-10-14,205 p[ai]d C[aptain] Abercromy Ca[ptain] of dragoon[er]s £93 - 13s - 6d,"Abercrommy, Jecamiah",Captain,dragoons,,,,,
7,V3502,Vernon,80v,1643-11-30,205 p[ai]d C[aptain] Abracrommy the like for his company [^of dragooneers^] £98 - 8s - 0d,"Abercrommy, Jecamiah",Captain,dragoons,,,,,
8,V3772,Vernon,84r,1644-02-13,205 p[ai]d Ca[ptain] Abracromy for 14 days pay for his troop of dragon[er]s £118 - 13s - 0d,"Abercrommy, Jecamiah",Captain,dragoons,,,,,
9,V1627,Vernon,44r,1642-12-10,176 p[ai]d Capt[ain] David Traile Capt[ain] w[illia]m Abernethy C[aptain] Robert Rutherford Ensigne w[illia]m blare Ensigne Georg Borthick & Ensigne David midleton latelie entertaind as reformados in this exp[edition] for a whol mo[nths] pay uppon acc[oun]tt £75 - 12s - -d,"Abernethy, William",Captain,,,,,reformado,
10,V2017,Vernon,52r,1643-01-24,"176 p[ai]d Capt[ain] Kennywood, C[aptain] Rotherford Capt[ain] Abernaithy C[aptain] Rob[er]t Hunter & C[aptain] david Hunter Capt[ain] Reformados on foot for the severall pays for 1 mo[nth] uppon acc[oun]tt £105 - 0s - 0d","Abernethy, William",Captain,foot,,,,reformado,
11,V2267,Vernon,57v,1643-03-17,176 p[ai]d Capt[ain] david Kininmont C[aptain] Robert Rotherford C[aptain] david Hunter C[aptain] Robert Hunter & capt[ain] w[illia]m Abernethy reformado captains of Foot for ther severall paies for a mo[nths] uppon acc[oun]t at 21l each £105 - 0s - 0d,"Abernethy, William",Captain,foot,,,,reformado,
12,V2424,Vernon,61r,1643-04-13,176 p[ai]d Capt[ain] Ja[mes] douglas C[aptain] Robert Rutherford C[aptain] david Kennimonth C[aptain] david Hunter C[aptain] w[illia]m Abernethy C[aptain] w[illia]m Blare & leifft[enan]t Arthur sinclair Scot[es] reformados attending this present service toward[es] ther entertain[men]t upp[on] a[ccount] £235 - -s - -d,"Abernethy, William",Captain,,,,,reformado,
13,V2681,Vernon,66r,1643-05-26,176 p[ai]d Capt[ain] Robert Rutherford C[aptain] david Hunter C[aptain] w[illia]m Abernethy C[aptain] Robert Hunter C[aptain] Alexander [?Chyny?] cap[tain] reformados on foot for a mo[nths] pay uppon accompt £105 - -s - -d,"Abernethy, William",Captain,foot,,,,reformado,
14,V2950,Vernon,72r,1643-07-13,176 p[ai]d Capt[ain] Rutherford C[aptain] david Hunter capt[ain] Abernaithy and C[aptain] Rob[er]t Hunter 4 C[aptain] reformados of foot for 14 days pay ending 16 June £42 - 0s - 0d,"Abernethy, William",Captain,foot,,,,reformado,
15,V3642,Vernon,82v,1643-12-12,169 p[ai]d John Adams trompeter to Capt[ain] Carr wounded at newberry £4 - 4s - 0d,"Adams, John",Trumpeter,horse,,,"Carr, Gilbert",wounded,
16,F0242,Fenton,100v,1643-08-12,p[ai]d Ens[ign] Richard Addams £15 - 0s - 0d,"Adams, Richard",Ensign,,,,,,
17,V2476,Vernon,62r,1643-04-28,"168 p[ai]d unto Edward wollaston, Henry Crossly Richard Hind, Jo[hn] Baldwin, John Symond[es] Thomas Adams, Georg Ewer, George whitledge, Samuel Flesher, Thomas kelsey Thomas Chetwood, John shelby George white gent[lemen] apointed paymasters of the severall Regiment[es] of Foot in the parlim[entes] service the some of 5 pownd[es], to be given 12s to every soldier of the said Regi[men]t[es] by way of reward £5000 - 0s - 0d","Adams, Thomas",Paymaster,foot,,,,,
18,V1683,Vernon,45r,1642-12-19,149 p[ai]d L[ieutenant] Coll[onel] James afflock for his pay as L[ieutenant] Coll[onel] reformado for 6 week[es] begining 1 [Novem]bre £63 - -s - -d,"Afflock, James",Lt-Colonel,,,,,reformado,
19,V1664,Vernon,44v,1642-12-17,"147 p[ai]d Leifftenn[an]t Collonel Aldrich, major of S[i]r John meldrom Brigad for 6 week[es] pay as major beginning the last [Octo]bre at xs p[er] diem £21 - -s - -d","Aldrich, Edward",Lt-Colonel and Major of Brigade,foot,,,,,
20,F0185,Fenton,99v,1643-07-31,p[ai]d Coll[onel] Edw[ard] Aldritch £106 - 17s - 4d,"Aldrich, Edward",Colonel,,,,,,
21,F0244,Fenton,100v,1643-08-13,p[ai]d Coll[onel] Aldrich £9 - 4s - 4d,"Aldrich, Edward",Colonel,,,,,,
22,F0251,Fenton,101r,1643-08-16,p[ai]d Coll[onel] Edw[ard] Aldritch £212 - 13s - 8d,"Aldrich, Edward",Colonel,,,,,,
23,V2995,Vernon,72v,1643-08-16,147 p[ai]d Coll[onel] Aldrich for 7 days pay for the Regi[men]t that was S[i]r Jo[hn] meldroms £212 - 13s - 8d,"Aldrich, Edward",Colonel,foot,,,,,
24,V3205,Vernon,76r,1643-08-25,14 p[ai]d Coll[onel] Aldrich for pay of his Regi[men]t £429 - 5s - -d,"Aldrich, Edward",Colonel,foot,,,,,
25,V3390,Vernon,79r,1643-10-18,147 p[ai]d Coll[onel] Aldrich for his Regi[men]t lying at Alsbury £416 - 4s - 4d,"Aldrich, Edward",Colonel,foot,,,,,
26,V3456,Vernon,80r,1643-11-14,147 p[ai]d Coll[onel] Aldrige toward[es] pay of the Garison of Alsburye uppon accompt £700 - 0s - 0d,"Aldrich, Edward",Colonel,foot,,,,,
27,V3524,Vernon,81r,1643-12-01,45 p[ai]d Capt[ain] Thomas Terrill[es] troop the like the rest pay by C[olone]ll Aldrich at Alsberry £95 - 13s - 0d,"Aldrich, Edward",Colonel,foot,,,,,
