RowID,EntryID,Account,Folio,Date,EntryText,Place,Event,Notes
1,V0477,Vernon,18r,1642-09-02,sallery 5 p[ai]d Thomas willis for 6 hired wagons to cary provision for Collonel Hollis reg[imen]t from Acton to Coventry £38 - 0s - 0d,"Acton, Middlesex",,
2,V2716,Vernon,66v,1643-06-21,183 p[ai]d Jo[hn] Francis major to serg[ean]t major g[e]n[era]ll skippon for soe much by him disborsed for a carriage of Amunition & other necessaries from london to Alisbury £35 - 0s - 0d,"Aylesbury, Buckinghamshire",,
3,V3390,Vernon,79r,1643-10-18,147 p[ai]d Coll[onel] Aldrich for his Regi[men]t lying at Alsbury £416 - 4s - 4d,"Aylesbury, Buckinghamshire",,
4,V3456,Vernon,80r,1643-11-14,147 p[ai]d Coll[onel] Aldrige toward[es] pay of the Garison of Alsburye uppon accompt £700 - 0s - 0d,"Aylesbury, Buckinghamshire",,
5,V3524,Vernon,81r,1643-12-01,45 p[ai]d Capt[ain] Thomas Terrill[es] troop the like the rest pay by C[olone]ll Aldrich at Alsberry £95 - 13s - 0d,"Aylesbury, Buckinghamshire",,
6,V0242,Vernon,11v,1642-08-19,"12 more 300l to be by his L[ordshi]p delivered unto S[i]r Oliver Luke, S[i]r Samuell Luke S[i]r Thomas Alston & S[i]r Thomas Rolt dep[uty] leifft[enants] of Bedford or anie 2 of them to be p[ai]d unto the soldiers when they ar mustered w[hi]ch monie is to be Issued to the said lord uppon acc[oun]tt £300 - 0s - 0d",Bedfordshire,,
7,V0541,Vernon,19v,1642-09-05,"85 p[ai]d Thomas Symond[es] for monies disbursed by the hand[es] of Ric[hard] Touy of Bristoll for armes and Amunition by him provided and bought by order of m[aste]r Allexand[e]r Popham, m[aste]r strood & m[aste]r Ash £172 - 4s - 4d",Bristol,,
8,V0096,Vernon,7v,1642-08-11,sallery p[ai]d John Sharpe & John Richardson for ther travaile and charge of bringinge up severall french menn from Canterbury £30 - 0s - 0d,"Canterbury, Kent",,
9,V3407,Vernon,79v,1643-10-19,207 p[ai]d C[aptain] James Barckley who was dangerouslie wounded at [th]e late skirmish at Chinor £100 - -s - -d,"Chalgrove Field, Oxfordshire",battle,
10,V2827,Vernon,69r,1642-11-11,33 p[ai]d S[i]r w[illia]m Balfour for [th]e guift monye of his Regiment mustred in Chelsey feild order to the order then given 11 [Novem]bre 1642 £100 - 0s - 0d,"Chelsea, Middlesex",,
11,V1399,Vernon,39r,1642-11-24,more for guift monie for 18 of his troop that appeard in Chelsey feild[es] £4 - 10s - -d,"Chelsea, Middlesex",,
12,V1470,Vernon,40v,1642-12-03,48 p[ai]d the lord willoughby for guift monie to 59 horsemen w[hi]ch apeared under his comand in Chelsey feild £14 - 15s - 0d,"Chelsea, Middlesex",,
13,V1543,Vernon,42r,1642-12-05,more for 57 horse mustred in Chelsey feild at 5s a horse £14 - 5s - -d,"Chelsea, Middlesex",,
14,V3407,Vernon,79v,1643-10-19,207 p[ai]d C[aptain] James Barckley who was dangerouslie wounded at [th]e late skirmish at Chinor £100 - -s - -d,"Chinnor, Oxfordshire",raid,
15,V0168,Vernon,9v,1642-08-15,sallery p[ai]d Isaack Broomwich for charges of severall post & messages about the busines of warwicke & coventry £7 - 0s - 0d,"Coventry, Warwickshire",,
16,V0426,Vernon,16v,1642-08-30,67 Sent to to be imployed for the use of the army quarteringe in and about Coventry this monie is to be d[elivere]d to sergant major Ballard S[i]r Henry cholmlie & S[i]r Edward Peto £8000 - 0s - 0d,"Coventry, Warwickshire",,
17,V0477,Vernon,18r,1642-09-02,sallery 5 p[ai]d Thomas willis for 6 hired wagons to cary provision for Collonel Hollis reg[imen]t from Acton to Coventry £38 - 0s - 0d,"Coventry, Warwickshire",,
