RowID,EntryID,Markup,Folio,Date,Left column,Main column,Pounds,Shillings,Pence
1,V0001,pb,5r,,,5r,,,
2,V0002,head,5r,1642-08-02,,August 2 1642,,,
3,V0003,table (single row),5r,1642-08-02,,[del: p[ai]d S[i]r John Evelinge for S[i]r Phillip Stapleton by order of the Committee of Lord[es] and Commons for defence of the kingdome for the furnishinge of 40 gentlemen for the lord Generall[es] guard the some of six hundreth pownd[es] w[hi]ch monie was first paid by the Th[reasur]ers of monie and plate in yealdhall and made good to them uppon the first 5000 [pounds] receaved of them.],,,
4,V0004,head,5r,1642-08-05,,August 5th 1642,,,
5,V0005,open table,5r,1642-08-05,4,p[ai]d Captaine John Urrey for the advance of on monethes paye of a troope of Harquebusiers consistinge of 70 horses besid[es] officers,380,16,0
6,V0006,tr,5r,1642-08-05,4,p[ai]d Richard Lewis assigne of S[i]r william Lewis on thowsand pownd[es] to be imployed for the defence of hampshire,1000,0,0
7,V0007,tr,5r,1642-08-05,sellery,p[ai]d M[aste]r Edward Pickeringe by a warr[an]tt for charges of post horses in the service of the parliament,50,0,0
8,V0008,close table,5r,1642-08-05,5,p[ai]d Captaine william St leger for the advance of a monthes pay of a troop of horse of 70 besid[es] officers - memorand[um] the war[ran]t is 8l more then it should be being 8l for 8s to be deducted next pay,198,0,0
9,V0009,head,5r,1642-08-06,,6 [August 1642],,,
10,V0010,open table,5r,1642-08-06,5,p[ai]d Captaine Paule watt[es] of the regiment of my Lord Mandevill for a months advance of his intertainm[en]t,21,0,0
11,V0011,tr,5r,1642-08-06,6,p[ai]d Captaine Peeter Merford of the regiment of Collonell Ballard for a months advance of his intertainment,21,-,-
12,V0012,tr,5r,1642-08-06,6,p[ai]d Captaine Elias Struice of my Lord whartons regiment for a months paye advance of his intertainment,21,0,0
13,V0013,tr,5r,1642-08-06,7,p[ai]d Captaine Alexander Nerne 190l.8s.0 for advance of half a monthes paye of a troop of horse of 70 besides officers,190,8,0
14,V0014,tr,5r,1642-08-06,7,p[ai]d Lord wharton for advance of one half monthes pay of a troope of 80 horse harquebusiers besid[es] officers,207,18,0
15,V0015,close table,5r,1642-08-06,,,2090,2,-
16,V0016,pb,5v,1642-08-06,,5v,,,
