ID	Markup	Left column	Main column	Pounds	Shillings	Pence
1	pb		5r			
2	head		August 2 1642			
3	table (single row)		[del: p[ai]d S[i]r John Evelinge for S[i]r Phillip Stapleton by order of the Committee of Lord[es] and Commons for defence of the kingdome for the furnishinge of 40 gentlemen for the lord Generall[es] guard the some of six hundreth pownd[es] w[hi]ch monie was first paid by the Th[reasur]ers of monie and plate in yealdhall and made good to them uppon the first 5000 [pounds] receaved of them.]			
4	head		August 5th 1642			
5	open table	4	p[ai]d Captaine John Urrey for the advance of on monethes paye of a troope of Harquebusiers consistinge of 70 horses besid[es] officers 	380	16	0
6	tr	4	p[ai]d Richard Lewis assigne of S[i]r william Lewis on thowsand pownd[es] to be imployed for the defence of hampshire	1000	0	0
7	tr	sellery	p[ai]d M[aste]r Edward Pickeringe by a warr[an]tt for charges of post horses in the service of the parliament	50	0	0
8	close table	5	p[ai]d Captaine william St leger for the advance of a monthes pay of a troop of horse of 70 besid[es] officers - memorand[um] the war[ran]t is 8l more then it should be being 8l for 8s to be deducted next pay	198	0	0
9	head		6 [August 1642]			
10	open table	5	p[ai]d Captaine Paule watt[es] of the regiment of my Lord Mandevill for a months advance of his intertainm[en]t	21	0	0
11	tr	6	p[ai]d Captaine Peeter Merford of the regiment of Collonell Ballard for a months advance of his intertainment	21	-	-
12	tr	6	p[ai]d Captaine Elias Struice of my Lord whartons regiment for a months paye advance of his intertainment	21	0	0
13	tr	7	p[ai]d Captaine Alexander Nerne 190l.8s.0 for advance of half a monthes paye of a troop of horse of 70 besides officers	190	8	0
14	tr	7	p[ai]d Lord wharton for advance of one half monthes pay of a troope of 80 horse harquebusiers besid[es] officers	207	18	0
15	close table			2090	2	-
16	pb		5v			
17	head		August 6 1642			
18	open table		Sommeth [th]e other side	2090	2	0
19	tr	8	p[ai]d S[i]r w[illia]m waller for the advance of one monthes pay of a troope of horse of sixtie harquebusiers besid[es] officers the some of three hundreth forty five pownd[es] sixteen shillings by way of imprest	345	16	0
20	close table	8	more p[ai]d him for an arreer due unto him and his officers from the 25 Julie to the 6th of August exclusive being 22 dayes the some of on hundreth and five pownd[es] twelve shillings	105	12	0
21	head		8 Aug[us]tt			
22	open table	8	p[ai]d S[i]r Faithfull fortescue for the advance of half a monthes paye for a troope of horse of 70 harquebusiers besid[es] officers on hundreth ninty l eight s	190	8	-
23	tr	9	p[ai]d my lord Grey of Grooby for the advance of on half monthes pay of a troop of horse of 60 harquebusiers Clxxii l xviii s	172	18	0
24	tr	9	p[ai]d Captaine Edward Askew for advance of 1/2 a monthes pay of a troope of 60 Harquebusiers	172	18	0
25	tr	10	p[ai]d the Earlle of Stamford for advance of half a monthes paye of 60 horse harquebusiers	172	18	0
26	tr	10	p[ai]d Captaine Francis Fines for advance of half a monthes pay as above	172	18	0
27	tr	11	p[ai]d Captaine Thomas Temple for advance of half a monthes pay as above	172	18	0
28	close table	11	p[ai]d Captaine John Gunter by 2 warr[anttes] one of the 6 & the other of the 8 present for advance of a monthes pay for a troope of 60 harquebusiers	345	16	0
29	head		9 [August 1642]			
30	open table	12	p[ai]d Collonel Browne Collonell of 1000 dragooners by way of imprest to be distributed amonge his officers	100	0	0
31	close table			4042	4	-
32	pb		6r			
33	table (single row)		Soumeth the payment[es] on the other sid	4042	4	0
34	head		The 9 August 1642			
35	open table	12	p[ai]d the Lord St John of Bletzo Collonell of 1200 foot for himself & his officers for a month and other payment[es] as by [th]e warrant appereth	1044	16	0
36	tr	13	p[ai]d Collonell John Hampden uppon acc[oun]tt of his regiment	2000	0	0
37	tr	13	p[ai]d Capt[ain] Francis Dowett for mountinge of 3 corporall[es]	42	0	0
38	tr	14	p[ai]d Collonell John Dulbier for mounting of himself and officers of a troope of 60 horse as by the warrant	354	0	0
39	tr	14	p[ai]d my Lord Brook[es] for mountinge 2 trumpeters 1 farrier & 1 sadler at 8l a peece	32	0	0
40	tr	15	p[ai]d Capt[ain] [^Natha^] Fines for the like	32	0	0
41	tr	11	p[ai]d Capt[ain] Thomas Temple for mountinge 3 corporall[es]	42	0	0
42	tr	to S[i]r Geo[rge] Chudly 80	p[ai]d Lewis Marshall leifftennent to S[i]r Georg Chudleigh by way of imprest uppon accompt	20	0	0
