DocID	Ref	Order	Sort	Description	Pages	Notes
1	TNA, SP 28/39/5, ff. 462-463		TNA SP 28 039 5 463	Brill	4	
2	TNA, SP 28/39/5, f. 543		TNA SP 28 039 5 543	Twyford cum membris	1	
3	TNA, SP 28/39/5, ff. 591-592		TNA SP 28 039 5 592	Ickfed	4	
4	TNA, SP 28/41/5, ff. 469-470		TNA SP 28 041 5 470	hamlet of Bourton in the Parish of Buckingham	3	
5	TNA, SP 28/43/7, ff. 929-930		TNA SP 28 043 7 930	Waterstraford	2	
6	TNA, SP 28/148/1, f. 67		TNA SP 28 148 1 067	Ralph Rice of Wadsdon ... not in the generall accountes	1	Supplement submitted after main account.
7	TNA, SP 28/148/1, f. 68		TNA SP 28 148 1 068	An account what free quarters hath beene done by our Towne of Wadsdon which is not allready given ... in our generall accomptes	1	Supplement submitted after main account.
8	TNA, SP 28/148/1, ff. 199-200		TNA SP 28 148 1 199	Horseingdon	3	
9	TNA, SP 28/148/2, ff. 365-366		TNA SP 28 148 2 365	Winge Cumbris	4	
10	TNA, SP 28/149/1, f. 6		TNA SP 28 149 1 006	Wornall	2	
11	TNA, SP 28/149/4, ff. 550-569		TNA SP 28 149 4 550	Agmondisham	36	
12	TNA, SP 28/149/4, ff. 570-575		TNA SP 28 149 4 570	Boveney a Hamblet of Burnham	6	
13	TNA, SP 28/149/4, ff. 576-587		TNA SP 28 149 4 576	Chalfont Gyles	18	
14	TNA, SP 28/149/4, ff. 588-594		TNA SP 28 149 4 588	Chesham Boyes	7	
15	TNA, SP 28/149/4, ff. 595-599		TNA SP 28 149 4 595	Cheynes	8	
16	TNA, SP 28/149/4, ff. 600-609		TNA SP 28 149 4 600	Marllowe magna; Great Marlowe	14	
17	TNA, SP 28/149/4, ff. 612-613		TNA SP 28 149 4 612	Farnham Royall the towne part	2	
18	TNA, SP 28/149/4, ff. 614-617		TNA SP 28 149 4 614	Hedgly Deane in parish of Farneham Royall	6	
19	TNA, SP 28/149/4, ff. 624-625		TNA SP 28 149 4 624	Fawley	3	
20	TNA, SP 28/149/4, f. 626		TNA SP 28 149 4 626	Maswoth	2	
21	TNA, SP 28/149/4, ff. 627-631		TNA SP 28 149 4 627	Penn in the hundred of Burnham	9	
22	TNA, SP 28/149/4, ff. 633-648		TNA SP 28 149 4 633	Taplowe	22	
23	TNA, SP 28/149/4, ff. 649-650		TNA SP 28 149 4 649	Wingrave	2	
24	TNA, SP 28/150/1, ff. 11-16		TNA SP 28 150 1 011	Wadsdon	11	
25	TNA, SP 28/150/1, ff. 17-20		TNA SP 28 150 1 017	Fleet Marson	7	
26	TNA, SP 28/150/1, ff. 21-28		TNA SP 28 150 1 021	Grendon underwood	16	
27	TNA, SP 28/150/1, ff. 30-42		TNA SP 28 150 1 030	Wadsdon	26	
28	TNA, SP 28/150/1, ff. 88-91		TNA SP 28 150 1 088	Ashinton cum Pollicatt	5	
29	TNA, SP 28/150/1, ff. 93-101		TNA SP 28 150 1 093	Braddenham, Disburrough hundred	14	
30	TNA, SP 28/150/1, ff. 108-109		TNA SP 28 150 1 108	Padbury	3	
31	TNA, SP 28/150/2, ff. 112-120		TNA SP 28 150 2 112	Drayton Beaucham, Cotslow hundred	17	
32	TNA, SP 28/150/2, ff. 121-132		TNA SP 28 150 2 121	hamlet of walton in the parish of Allesbury	21	
33	TNA, SP 28/150/2, ff. 139-146		TNA SP 28 150 2 139	Soulbery	8	
34	TNA, SP 28/150/2, ff. 163-170		TNA SP 28 150 2 163	Dorney	8	
35	TNA, SP 28/150/2, ff. 171-184		TNA SP 28 150 2 171	Weston	22	
36	TNA, SP 28/150/2, ff. 185-190		TNA SP 28 150 2 185	Westcott	11	
37	TNA, SP 28/150/2, ff. 191-194		TNA SP 28 150 2 191	Aston Sanford	8	
38	TNA, SP 28/150/2, ff. 196-203		TNA SP 28 150 2 196	Aston Clinton cum St Leonards	15	
39	TNA, SP 28/150/2, ff. 214-221		TNA SP 28 150 2 214	Longe Crendon	8	
40	TNA, SP 28/150/2, ff. 233-236		TNA SP 28 150 2 233	Chilton cum Easington	4	
41	TNA, SP 28/150/2, ff. 237-240		TNA SP 28 150 2 237	Middle Cleydon	5	
