Sign,InOrNear,Settlement,AddrKey,Ref
Anchor,Friday Street,London,"Anchor, Friday Street, London, England","TNA, SP 28/131/3, f. 1v"
Anchor,Lombard Street,London,"Anchor, Lombard Street, London, England","TNA, SP 28/131/3, f. 11r"
Angel and Star,Cheapside,London,"Angel and Star, Cheapside, London, England","TNA, SP 28/131/3, f. 42v"
Angel,Cheapside,London,"Angel, Cheapside, London, England","TNA, SP 28/131/3, f. 2r; TNA, SP 28/131/4, ff. 33v, 46v"
Angel,Fleet Street,London,"Angel, Fleet Street, London, England","TNA, SP 28/131/3, f. 124r"
Angel,Gracechurch Street,London,"Angel, Gracechurch Street, London, England","TNA, SP 28/131/3, f. 131v"
Angel,Lombard Street,London,"Angel, Lombard Street, London, England","TNA, SP 28/131/4, f. 29r; TNA, SP 28/131/5, ff. 4r, 5v, 6v"
Angel,Paternoster Row,London,"Angel, Paternoster Row, London, England","TNA, SP 28/131/3, f. 103r"
Antelope,Watling Street,London,"Antelope, Watling Street, London, England","TNA, SP 28/131/3, f. 10v"
Artichoke,Cornhill,London,"Artichoke, Cornhill, London, England","TNA, SP 28/131/5, f. 5v"
Artichoke,Newgate Market,London,"Artichoke, Newgate Market, London, England","TNA, SP 28/131/3, f. 38r"
Axe,Aldermanbury,London,"Axe, Aldermanbury, London, England","TNA, SP 28/131/5, f. 3v"
Barge,Fleet Street,London,"Barge, Fleet Street, London, England","TNA, SP 28/131/3, f. 16v"
Basket,Dice Quay,London,"Basket, Dice Quay, London, England","TNA, SP 28/131/3, f. 104r; TNA, SP 28/131/5, ff. 4v, 5v"
Bear,Southwark,Southwark,"Bear, Southwark, Surrey, England","TNA, SP 28/131/3, f. 23r"
Bell,Gracechurch Street,London,"Bell, Gracechurch Street, London, England","TNA, SP 28/131/3, f. 43r"
Bell,London Bridge,London,"Bell, London Bridge, London, England","TNA, SP 28/131/3, f. 18v; TNA, SP 28/131/5, f. 7r"
Bell,Paternoster Row,London,"Bell, Paternoster Row, London, England","TNA, SP 28/131/3, f. 86r"
Black Bell,St Giles in the Fields,London,"Black Bell, St Giles in the Fields, London, England","TNA, SP 28/131/3, f. 13r"
Black Boy,Southwark,Southwark,"Black Boy, Southwark, Surrey, England","TNA, SP 28/131/4, f. 48r"
Black Boy,Thames Street,London,"Black Boy, Thames Street, London, England","TNA, SP 28/131/5, f. 1r"
Black Bull,Cheapside,London,"Black Bull, Cheapside, London, England","TNA, SP 28/131/3, ff. 14r, 31r, 63v"
Black Bull,Cornhill,London,"Black Bull, Cornhill, London, England","TNA, SP 28/131/5, f. 5r"
Black Bull,New Fish Street,London,"Black Bull, New Fish Street, London, England","TNA, SP 28/131/3, f. 17v"
Black Greyhound,Watling Street,London,"Black Greyhound, Watling Street, London, England","TNA, SP 28/131/5, f. 1v"
Blackamoor's Head,Watling Street,London,"Blackamoor's Head, Watling Street, London, England","TNA, SP 28/131/3, f. 30r"
Blue Anchor,Lombard Street,London,"Blue Anchor, Lombard Street, London, England","TNA, SP 28/131/3, f. 35v"
Blue Anchor,Soper Lane,London,"Blue Anchor, Soper Lane, London, England","TNA, SP 28/131/3, ff. 13r, 35r"
Blue Bell,Old Fish Street,London,"Blue Bell, Old Fish Street, London, England","TNA, SP 28/131/4, f. 46r"
Blue Boar,Friday Street,London,"Blue Boar, Friday Street, London, England","TNA, SP 28/131/3, f. 4r; TNA, SP 28/131/5, f. 13v"
Blue Boar,Lombard Street,London,"Blue Boar, Lombard Street, London, England","TNA, SP 28/131/3, ff. 6r, 10v, 91v, 98r"
Boar's Head,Aldersgate Street,London,"Boar's Head, Aldersgate Street, London, England","TNA, SP 28/131/3, f. 72v"
Boar's Head,Cheapside,London,"Boar's Head, Cheapside, London, England","TNA, SP 28/131/3, f. 101r"
Boar's Head,Fleet Street,London,"Boar's Head, Fleet Street, London, England","TNA, SP 28/131/3, f. 12r"
Boar's Head,Gracechurch Street,London,"Boar's Head, Gracechurch Street, London, England","TNA, SP 28/131/3, ff. 34v, 103r"
Buck,St Laurence Lane,London,"Buck, St Laurence Lane, London, England","TNA, SP 28/131/3, f. 17r"
Buckler,New Fish Street,London,"Buckler, New Fish Street, London, England","TNA, SP 28/131/3, f. 21r"
Bull,Bishopsgate Street,London,"Bull, Bishopsgate Street, London, England","TNA, SP 28/131/3, f. 1v"
Camel,Lombard Street,London,"Camel, Lombard Street, London, England","TNA, SP 28/131/5, f. 4r"
Castle,Bishopsgate Street,London,"Castle, Bishopsgate Street, London, England","TNA, SP 28/131/5, ff. 1r, 8r"
Castle,Cornhill,London,"Castle, Cornhill, London, England","TNA, SP 28/131/5, f. 5r"
