ID	Squadron	Position	Key	AltSpelling	Windsor	Brickhill	Islington/Beconsfield	Basing
1	1	1	Teyler, Abraham					
2	1	2	van Heven, Peter		101			
3	1	3	Bridges, Roger		306			
4	1	4	Tisdale, Rose					101
5	1	5	Sleigh, Stephen		201			
6	1	6	Short, Gregory					201
8	1	7	Meane, Daniell	Mayne	301			
9	1	8	Church, George		105			
10	1	9	Pilgrim, Richard		206			
11	1	10	Haughton, John		102			
12	1	11	Bruckshaw, John		305			
13	1	12	Relph, William					
14	1	13	Presly, Thomas		308			
15	1	14	Bendall, Helbright	Elbright				
16	1	15	Philips, Humfry	Humphry Phillips				102
17	1	16	Clare, George		202			
18	1	17	Spicer, Richard		203			
19	1	18	Archer, Edward		103			
20	1	19	Watson, Richard			301		103
21	1	20	Wyatt, William		106			
22	2	1	Robinson, John		302			
23	2	2	Johnson, Christopher		307			
24	2	3	Phillips, Henry		208			
25	2	4	Hall, John				209	
27	2	5	Uppington, Edward		303			
28	2	6	Mortimer, Thomas					
29	2	7	Spencer, John		304			
30	2	8	Dandoe, James	Dando				
31	2	9	Holmes, Thomas		104			
32	2	10	Aris, William	Ayriss	107			
33	2	11	Bramly, Joseph					202
34	2	12	Parsons, Thomas					
35	2	13	Swinnerton, Richard					
36	2	14	Ellis, Robert					
37	2	15	Stening, John		108			
38	2	16	Skallit, Thomas	Scarlett	204			
39	2	17	Faldo, Richard		207			
40	2	18	Browne, Thomas		209			203
41	2	19	Eyott, John					
42	2	20	Glidhill, Thomas		309			
43	3	1	Dowglas, John	Douglass				
44	3	2	Thornhill, Robert				204	
45	3	3	Leake, Christopher				303	
46	3	4	Maryott, John (merchant tailor, Thames Street)	Marriott			203	
47	3	5	Ellin, John					
48	3	6	Blinkatt, Thomas		110			
49	3	7	Jackson, Richard		210			
50	3	8	Edwards, William		310	207		
51	3	9	Musgrave, Nicholas				103	
52	3	10	Gibs, William	Gibbs				
53	3	11	Scriven, George					
54	3	12	Cade, Timothy	Coade				
55	3	13	White, John		109			
56	3	14	Adderton, Henry		205			
57	3	15	Towers, Thomas				102	
58	3	16	Bucklye, George				202	
59	3	17	Parcell, John	Pursill			310	
60	3	18	Leaver, Thomas				104	
61	3	19	Redhead, Thomas				302	
62	3	20	Jefferson, William				304	
63			Weston, Edward			101		
64			Halford, Edward			102		
65			Franks, Thomas			103	105	
66			Davis, John			104		
67			Turvin, Thomas			105	205	
68			Roper, William			106	305	
69			Jones, Thomas			107	301	
70			Parr, John			201	106	
71			Parr, Thomas			202		
72			Carton, Mark			203	206	
73			Harwood, William			204	107	
74			Browne, Hans			205		
75			Whitlack, Robert			206	207	
76			Basilburne, Robert			302		
77			Williams, Henry			303	201	
78			Bates, Robert			304	306	
79			Perkins, Roger			305		
80			Leigh, Edward			306		
81			Lautman, Samuel				101	
82			Greene, George				108	
83			Woodcock, John				109	
84			Stokes, Thomas				110	
85			Woods, John				208	
86			Beverley, John				210	
87			Paine, Robert				307	
88			Niccolls, John				308	
89			Hart, Thomas				309	
